iter	RMSE
0	0.9146177336
1	0.6411162518
2	0.5283021256
3	0.4590552973
4	0.4006041783
5	0.3810391213
6	0.3709588636
7	0.341663126
8	0.3347543045
9	0.3287023852
10	0.31958486
11	0.3148065941
12	0.311306684
13	0.3035312436
14	0.3005788452
15	0.2971552072
16	0.2923228838
17	0.2877636156
18	0.2846821109
19	0.2819620294
20	0.280675206
21	0.279112377
22	0.2773878117
23	0.2753720583
24	0.2736188215
25	0.2703316716
26	0.268365657
27	0.2661808953
28	0.2642483446
29	0.260912842
30	0.2588078406
31	0.2562892474
32	0.2534725752
33	0.2508594196
34	0.248855079
35	0.2463220982
36	0.2461978451
37	0.2445132278
38	0.2436016075
39	0.2414540278
40	0.2402506023
41	0.2397351633
42	0.2372333059
43	0.2354622006
44	0.2338614752
45	0.2338304757
46	0.232463992
47	0.2313795419
48	0.2301234918
49	0.2301000904
50	0.2290633547
51	0.2269099068
52	0.2252475915
53	0.2238765942
54	0.2229937826
55	0.2221545287
56	0.2218304444
57	0.2215034295
58	0.2204990543
59	0.2195459492
60	0.2180426298
61	0.2174310139
62	0.2165754368
63	0.2156815485
64	0.214690487
65	0.2130251039
66	0.2118288307
67	0.2110876773
68	0.2103306758
69	0.2097321818
70	0.2095294854
71	0.208587563
72	0.2078180887
73	0.2077618177
74	0.2069925636
75	0.2069834602
76	0.2057446594
77	0.2050827628
78	0.203794911
79	0.2029194408
80	0.2021253104
81	0.2016248757
82	0.2003735509
83	0.1999840302
84	0.1983833852
85	0.1972648586
86	0.1965685742
87	0.1965613754
88	0.1960134789
89	0.1949348626
90	0.1941167964
91	0.1938769586
92	0.1927353966
93	0.1918079399
94	0.1907517537
95	0.18976716
96	0.1892902846
97	0.1887844232
98	0.1882389932
99	0.1873366803
100	0.1871136605
101	0.1869736199
102	0.1863241846
103	0.1858695356
104	0.184801556
105	0.1843220826
106	0.1838587382
107	0.1834893478
108	0.1828879639
109	0.1821598176
110	0.1816966347
111	0.1812808953
112	0.1811316625
113	0.180644
114	0.1801765246
115	0.1797440749
116	0.1792464681
117	0.1789145751
118	0.1784043818
119	0.1776978132
120	0.1771752411
121	0.1765814683
122	0.1758303434
123	0.1756590063
124	0.1752257626
125	0.1746215676
126	0.1733285547
127	0.1733224303
128	0.1728911674
129	0.1722455478
130	0.1716089303
131	0.1715270655
132	0.1709691891
133	0.1709642495
134	0.1705360163
135	0.1700450203
136	0.1695726749
137	0.1689994659
138	0.1683264392
139	0.1679635605
140	0.1673195568
