iter	Passed	Remaining
0	4	4851
1	6	3479
2	8	2965
3	10	2652
4	13	2600
5	15	2568
6	17	2466
7	19	2420
8	21	2373
9	23	2334
10	25	2305
11	28	2320
12	31	2354
13	33	2367
14	35	2360
15	38	2354
16	40	2347
17	42	2335
18	44	2315
19	46	2292
20	48	2269
21	50	2257
22	52	2241
23	54	2223
24	56	2210
25	58	2205
26	61	2199
27	63	2214
28	65	2207
29	69	2247
30	72	2267
31	75	2290
32	78	2291
33	80	2287
34	82	2285
35	84	2274
36	87	2266
37	90	2280
38	92	2272
39	94	2265
40	96	2251
41	98	2236
42	100	2226
43	102	2217
44	104	2211
45	106	2198
46	108	2193
47	110	2182
48	112	2174
49	113	2159
50	115	2150
51	118	2155
52	120	2153
53	122	2151
54	124	2143
55	126	2132
56	128	2122
57	130	2113
58	131	2105
59	134	2101
60	136	2096
61	137	2087
62	139	2078
63	141	2069
64	143	2062
65	145	2055
66	147	2050
67	149	2045
68	151	2040
69	153	2032
70	154	2024
71	156	2019
72	158	2013
73	160	2004
74	162	1998
75	164	1996
76	166	1992
77	168	1990
78	170	1985
79	172	1978
80	173	1971
81	175	1967
82	178	1968
83	180	1964
84	182	1960
85	183	1953
86	185	1947
87	187	1940
88	189	1934
89	190	1929
90	192	1925
91	194	1920
92	196	1917
93	198	1913
94	200	1910
95	202	1906
96	204	1905
97	206	1905
98	209	1907
99	211	1902
100	213	1902
101	215	1896
102	217	1891
103	219	1887
104	221	1884
105	223	1881
106	225	1878
107	227	1877
108	229	1874
109	231	1870
110	233	1868
111	235	1869
112	238	1872
113	240	1870
114	242	1866
115	244	1862
116	246	1858
117	248	1854
118	249	1850
119	251	1845
120	254	1845
121	256	1843
122	258	1841
123	260	1836
124	261	1832
125	263	1827
126	265	1823
127	266	1818
128	268	1816
129	270	1812
130	272	1809
131	274	1804
132	276	1800
133	277	1795
134	279	1791
135	281	1788
136	283	1785
137	285	1783
138	287	1780
139	289	1776
140	290	1771
141	292	1768
142	294	1765
143	296	1762
144	298	1758
145	300	1758
146	302	1754
147	304	1753
148	306	1749
149	308	1745
150	309	1742
151	311	1740
152	313	1737
153	315	1735
154	317	1733
155	319	1729
156	321	1726
157	323	1723
158	325	1719
159	327	1716
160	328	1713
161	330	1711
162	332	1709
163	334	1706
164	336	1703
165	338	1700
166	340	1698
167	342	1695
168	344	1692
169	346	1691
170	348	1689
171	350	1687
172	352	1684
173	354	1682
174	356	1679
175	358	1676
176	360	1674
177	362	1672
178	364	1670
179	365	1667
180	368	1665
181	369	1662
182	371	1659
183	373	1658
184	376	1657
185	378	1655
186	380	1653
187	382	1651
188	384	1649
189	386	1647
190	388	1644
191	390	1641
192	391	1639
193	394	1637
194	395	1634
195	397	1632
196	399	1629
197	401	1626
198	403	1624
199	405	1623
200	407	1620
201	409	1618
202	411	1615
203	413	1615
204	415	1612
205	417	1610
206	419	1608
207	422	1607
208	424	1605
209	426	1602
210	427	1599
211	429	1597
212	431	1594
213	433	1591
214	435	1588
215	437	1587
216	439	1587
217	441	1584
218	443	1581
219	445	1578
220	446	1575
221	448	1572
222	450	1570
223	452	1569
224	454	1566
225	456	1563
226	458	1561
227	460	1558
228	462	1555
229	463	1552
230	466	1554
231	468	1552
232	470	1550
233	472	1548
234	474	1545
235	476	1543
236	478	1540
237	480	1538
238	482	1537
239	484	1534
240	486	1532
241	488	1529
242	490	1527
243	492	1524
244	493	1522
245	495	1519
246	497	1517
247	499	1515
248	501	1512
249	503	1509
250	505	1507
251	506	1504
252	509	1502
253	511	1500
254	512	1496
255	514	1494
256	516	1492
257	517	1489
258	519	1487
259	521	1484
260	523	1482
261	525	1479
262	527	1479
263	530	1477
264	532	1476
265	534	1473
266	536	1471
267	537	1469
268	539	1466
269	541	1464
270	543	1462
271	545	1461
272	548	1461
273	550	1459
274	552	1457
275	554	1454
276	556	1452
277	558	1450
278	560	1448
279	562	1445
280	564	1443
281	566	1441
282	568	1439
283	569	1436
284	572	1435
285	573	1432
286	575	1430
287	577	1428
288	580	1426
289	582	1425
290	584	1423
291	586	1421
292	588	1420
293	590	1418
294	592	1416
295	594	1413
296	596	1411
297	598	1408
298	599	1406
299	601	1404
300	603	1402
301	605	1399
302	607	1397
303	609	1395
304	611	1392
305	613	1390
306	614	1387
307	616	1385
308	618	1384
309	621	1382
310	623	1381
311	625	1379
312	627	1377
313	629	1375
314	631	1372
315	633	1370
316	635	1369
317	637	1367
318	639	1364
319	641	1362
320	642	1359
321	644	1357
322	646	1355
